賃料（下限）	cond[monthmoneyroom]	下限なし	3.0万円	3.5万円	4.0万円	4.5万円	5.0万円	5.5万円	6.0万円	6.5万円	7.0万円	7.5万円	8.0万円	8.5万円	9.0万円	9.5万円	10万円	11万円	12万円	13万円	14万円	15万円	16万円	17万円	18万円	19万円	20万円	30万円	50万円	100万円
賃料（下限）value	cond[monthmoneyroom]	0	3.0	3.5	4.0	4.5	5.0	5.5	6.0	6.5	7.0	7.5	8.0	8.5	9.0	9.5	10	11	12	13	14	15	16	17	18	19	20	30	50	100
賃料（上限）	cond[monthmoneyroomh]	上限なし	3.0万円	3.5万円	4.0万円	4.5万円	5.0万円	5.5万円	6.0万円	6.5万円	7.0万円	7.5万円	8.0万円	8.5万円	9.0万円	9.5万円	10万円	11万円	12万円	13万円	14万円	15万円	16万円	17万円	18万円	19万円	20万円	30万円	50万円	100万円
賃料（上限）value	cond[monthmoneyroomh]	0	3.0	3.5	4.0	4.5	5.0	5.5	6.0	6.5	7.0	7.5	8.0	8.5	9.0	9.5	10	11	12	13	14	15	16	17	18	19	20	30	50	100
共益費/管理費を含む	cond[kanrihi]	0	1																											
共益費/管理費を含むvalue	cond[kanrihi]	0	1																											
礼金なし	cond[reikin]	0	1																											
礼金なし	cond[reikin]	0	1																											
敷金なし	cond[shikikin]	0	1																											
敷金なしvalue	cond[shikikin]	0	1																											
専有面積（下限）	cond[housearea]	下限なし	10平米	15平米	20平米	25平米	30平米	35平米	40平米	45平米	50平米	60平米	70平米	80平米	90平米	100平米	110平米	120平米	130平米	140平米	150平米	200平米								
専有面積（下限）value	cond[housearea]	0	10	15	20	25	30	35	40	45	50	60	70	80	90	100	110	120	130	140	150	200								
専有面積（上限）	cond[houseareah]	上限なし	10平米	15平米	20平米	25平米	30平米	35平米	40平米	45平米	50平米	60平米	70平米	80平米	90平米	100平米	110平米	120平米	130平米	140平米	150平米	200平米								
専有面積（上限）value	cond[houseareah]	0	10	15	20	25	30	35	40	45	50	60	70	80	90	100	110	120	130	140	150	200								
ワンルーム	cond[madori][11]	0	1																											
ワンルームvalue	cond[madori][11]	0	1																											
1K	cond[madori][12]	0	1																											
1Kvalue	cond[madori][12]	0	1																											
1DK	cond[madori][13]	0	1																											
1DKvalue	cond[madori][13]	0	1																											
1LDK	cond[madori][15]	0	1																											
1LDKvalue	cond[madori][15]	0	1																											
2K	cond[madori][22]	0	1																											
2Kvalue	cond[madori][22]	0	1																											
2DK	cond[madori][23]	0	1																											
2DKvalue	cond[madori][23]	0	1																											
2LDK	cond[madori][25]	0	1																											
2LDKvalue	cond[madori][25]	0	1																											
3K	cond[madori][32]	0	1																											
3Kvalue	cond[madori][32]	0	1																											
3DK	cond[madori][33]	0	1																											
3DKvalue	cond[madori][33]	0	1																											
3LDK	cond[madori][35]	0	1																											
